block,pool,k,actors,omegaNorm2,gradFrac,rho,curlFrac,harmonicFrac,scalarCurlFrac,perms,vspreadWei
102626418,0x0033..0D43,3,3.0,27605878988472295230386733056,0.9861,0.9861,0.0139,0.0,0.0139,,
102626418,0xAFB7..ea3b,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626450,0xAFB7..ea3b,3,3.0,914614694587298961889649754112,0.7213,0.7213,0.2787,0.0,0.2785,,
102626455,0x66f2..C56B,3,8.0,524696484474881138938838601594568704,0.9639,0.9639,0.0361,0.0,0.0361,,
102626462,0xf4D1..2522,3,4.0,1842048180000000107872256,1.0,1.0,0.0,0.0,0.0,,
102626483,WBNB/USDT,3,5.0,5149995514315948910201145064788328448,0.6667,0.6667,0.3333,0.0,0.3333,,
102626484,WBNB/USDT,4,11.0,910141919999999996854272,1.0,1.0,0.0,0.0,0.5,,
102626487,0x734d..3C35,4,4.0,20111682006025,0.5,0.5,0.5,0.0,0.25,,
102626489,0xAFB7..ea3b,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626489,0x0033..0D43,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626492,WBNB/USDT,3,7.0,2198285120000000115343360,1.0,1.0,0.0,0.0,0.0,,
102626518,0xd504..2D42,5,7.0,4,0.75,0.75,0.0,0.0,0.5,,
102626525,0x0033..0D43,3,3.0,87727149496345163337549479936,0.8437,0.8437,0.1563,0.0,0.1552,,
102626534,WBNB/USDT,3,6.0,75386134744021146951221248,1.0,1.0,0.0,0.0,0.0,,
102626540,0x47a9..10c4,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626545,0x0f33..0EA6,3,7.0,199123281026794257471178806151610368,0.8076,0.8076,0.1924,0.0,0.3201,,
102626547,WBNB/USDT,3,6.0,220518935244544603404493651968,0.944,0.944,0.056,0.0,0.3333,,
102626551,0x47a9..10c4,3,7.0,2391396560967370821850896950886400,1.0,1.0,0.0,0.0,0.0019,,
102626554,0x6fe9..4869,3,7.0,12326316356453263749414912,0.6989,0.6989,0.3011,0.0,0.0,,
102626562,0xbC42..Efa5,3,6.0,15488667840266641383081372307997851648,0.9451,0.9451,0.0549,0.0,0.3333,,
102626564,0x6fe9..4869,4,4.0,150230574868195750969344,0.537,0.537,0.463,0.0,0.6481,,
102626587,0x0033..0D43,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626587,0xAFB7..ea3b,3,3.0,1762271403403234336833536,0.8045,0.8045,0.1955,0.0,0.2012,,
102626599,0xAFB7..ea3b,4,4.0,440993592731006102667264,0.9987,0.9987,0.0013,0.0,0.0014,,
102626609,0x0033..0D43,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626669,0x0033..0D43,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626689,WBNB/USDT,3,7.0,3542470774399388245910359595234099200,0.6667,0.6667,0.3333,0.0,0.3333,,
102626690,WBNB/USDT,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626690,0x58F8..Dc16,3,4.0,90539413556435806675428966400,0.9735,0.9735,0.0265,0.0,0.0265,,
102626698,0xAFB7..ea3b,4,4.0,46237027563949583348443673264128,0.8933,0.8933,0.1067,0.0,0.1077,,
102626705,0xc33b..c5CB,3,7.0,4149329239357593986129211686912,1.0,1.0,0.0,0.0,0.3333,,
102626742,0x7146..1f44,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626742,0xAFB7..ea3b,3,3.0,189556895531538481152,1.0,1.0,0.0,0.0,0.0,,
102626760,0xAFB7..ea3b,4,4.0,361324057272847302656,0.9114,0.9114,0.0886,0.0,0.0898,,
102626760,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626768,0xF37F..Fdd3,6,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626770,0x47a9..10c4,5,7.0,182461513868279128058911638159360,0.6243,0.6243,0.3757,0.0,0.3757,,
102626770,WBNB/USDT,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626785,0xf4D1..2522,3,6.0,22871349760000001459617792,0.6667,0.6667,0.3333,0.0,0.3333,,
102626788,0x734d..3C35,3,5.0,82407457488233646514205558535356416,0.6667,0.6667,0.3333,0.0,0.4366,,
102626822,0xf4D1..2522,3,6.0,369567604749425980884900785422336,0.7597,0.7597,0.2403,0.0,0.2224,,
102626825,0x203d..a8c0,4,9.0,278361354127013654714405146677215232,0.5,0.5,0.5,0.0,0.5,,
102626848,0x7146..1f44,3,6.0,210958779110219703291740160,0.7979,0.7979,0.2021,0.0,0.8299,,
102626856,0x0033..0D43,5,5.0,5233542550991325995651838246912,0.9377,0.9377,0.0623,0.0,0.0653,,
102626898,WBNB/USDT,7,10.0,9287754631999999782682624,0.8571,0.8571,0.1429,0.0,0.0,,
102626900,0x47a9..10c4,3,6.0,7638461152952633534521102487781376,0.6667,0.6667,0.3333,0.0,0.492,,
102626926,0x734d..3C35,4,5.0,106529106447372553750011024039215104,0.5,0.5,0.5,0.0,0.5666,,
102626927,WBNB/USDT,3,6.0,26921221592325430444032,0.6667,0.6667,0.3333,0.0,0.3333,,
102626930,0xAFB7..ea3b,3,3.0,962037410289593891384878694400,0.999,0.999,0.001,0.0,0.001,,
102626966,0x0033..0D43,3,3.0,453755973352855169667397803048960,0.8975,0.8975,0.1025,0.0,0.1046,,
102626966,0xAFB7..ea3b,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626990,0x837d..4af0,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626993,0x22af..127C,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102626999,0xbC42..Efa5,3,8.0,12677370056839556512022078269947904,0.6717,0.6717,0.3283,0.0,0.3281,,
102627013,0x0033..0D43,4,4.0,113715131333500053500719139913728,0.5726,0.5726,0.4274,0.0,0.4276,,
102627019,0xbC42..Efa5,6,14.0,10449649200030591803281054106958954496,0.6008,0.6008,0.3992,0.0,0.6667,,
102627020,0xbC42..Efa5,4,10.0,158020578202625232156827320320,1.0,1.0,0.0,0.0,0.0,,
102627023,0xbC42..Efa5,3,6.0,23216334073798384773098457006080,0.9635,0.9635,0.0365,0.0,0.0364,,
102627024,0xAFB7..ea3b,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627035,0x0033..0D43,3,3.0,7407365707551912960,0.9327,0.9327,0.0673,0.0,0.0681,,
102627057,0x0033..0D43,3,3.0,24179258399827431424,0.8613,0.8613,0.1387,0.0,0.1395,,
102627088,0x22af..127C,4,8.0,702194046732605990109184,1.0,1.0,0.0,0.0,0.0,,
102627092,0x41e0..5501,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627092,0xAFB7..ea3b,3,3.0,1377514163094987141894279004160,0.8774,0.8774,0.1226,0.0,0.1223,,
102627176,0xD2C1..07E7,3,3.0,4300582923956207250710548447232,0.9388,0.9388,0.0612,0.0,0.0614,,
102627185,0xd504..2D42,5,9.0,4,0.5,0.5,0.25,0.0,0.0,,
102627200,0xd504..2D42,4,4.0,160000000000000000,1.0,1.0,0.0,0.0,0.0,,
102627227,0xA998..8f06,4,10.0,3361612850404285166578957404864512,0.7208,0.7208,0.2792,0.0,0.4998,,
102627235,0xA998..8f06,4,8.0,279846133453721204181351689879552,0.7429,0.7429,0.2571,0.0,0.7147,,
102627236,0xA998..8f06,4,11.0,384158307354247304458190173765632,0.6666,0.6666,0.3334,0.0,0.3779,,
102627241,0xFf8D..b574,3,6.0,1251764952978137824918241280,0.8422,0.8422,0.1578,0.0,0.3334,,
102627263,0xAFB7..ea3b,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627267,0x47a9..10c4,4,9.0,1137919423446826625960090239514968064,0.5846,0.5846,0.4154,0.0,0.7619,,
102627268,0x47a9..10c4,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627268,WBNB/USDT,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627269,0x47a9..10c4,3,7.0,11270666746159471188109025695760384,0.6667,0.6667,0.3333,0.0,0.6558,,
102627270,0x47a9..10c4,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627272,0xAFB7..ea3b,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627272,0x0033..0D43,6,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627272,0x47a9..10c4,3,6.0,2012980629454459731822734676590592,0.6674,0.6674,0.3326,0.0,0.3326,,
102627273,0x47a9..10c4,3,7.0,160108836764977667994812416,0.6688,0.6688,0.3312,0.0,0.3323,,
102627274,0x47a9..10c4,5,11.0,2812937763605312043391306646421504,0.383,0.383,0.617,0.0,0.2673,,
102627317,0xd504..2D42,5,8.0,4,0.75,0.75,0.0,0.0,0.0,,
102627337,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627340,0x7A3e..5d8e,3,5.0,122166860004999997289398272,0.7568,0.7568,0.2432,0.0,0.3333,,
102627354,0xAFB7..ea3b,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627365,0xd504..2D42,3,3.0,5007836774002455478272,1.0,1.0,0.0,0.0,0.1692,,
102627368,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627429,0xAFB7..ea3b,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627438,0x0033..0D43,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627450,0xd504..2D42,5,9.0,3,0.6667,0.6667,0.3333,0.0,0.1667,,
102627455,0xA998..8f06,3,5.0,1590571787717159718605553664,0.6667,0.6667,0.3333,0.0,0.3315,,
102627471,0x47a9..10c4,3,5.0,380910795372981882191872,0.7279,0.7279,0.2721,0.0,0.2722,,
102627471,0xAFB7..ea3b,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627482,0xd504..2D42,4,4.0,10075044760400028499968,1.0,1.0,0.0,0.0,0.3442,,
102627493,0x0604..eD74,3,5.0,7889803567077281814130291304824832,0.6647,0.6647,0.3353,0.0,0.3333,,
102627499,0xAFB7..ea3b,3,3.0,151893587452092140446743003136,0.9223,0.9223,0.0777,0.0,0.0776,,
102627523,0x22af..127C,3,6.0,98688592128323822372628285811064832,0.9759,0.9759,0.0241,0.0,0.3657,,
102627552,0x0eD5..158D,4,8.0,178580409324578792160961587700563968,0.5,0.5,0.5,0.0,0.0109,,
102627588,0xd504..2D42,5,5.0,109,0.7248,0.7248,0.2661,0.0,0.0,,
102627590,0xbC42..Efa5,3,7.0,23855981237871118497828437638512640,0.6675,0.6675,0.3325,0.0,0.3333,,
102627608,0xAFB7..ea3b,5,5.0,288112970098555159917589692416,0.8187,0.8187,0.1813,0.0,0.1815,,
102627616,0x9f0f..941B,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627617,0x9f0f..941B,5,4.0,4962647092457751737008128,0.4,0.4,0.6,0.0,0.6,,
102627624,0x1BdC..23ca,3,7.0,18517810610224880494544485405949952,0.759,0.759,0.241,0.0,0.3333,,
102627683,0x66f2..C56B,3,7.0,313059981226340771004678144,0.9991,0.9991,0.0009,0.0,0.0052,,
102627685,0x3357..e53C,6,7.0,65948553600000006815744,0.8333,0.8333,0.1667,0.0,0.0,,
102627686,0x3357..e53C,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627695,WBNB/USDT,3,6.0,227898676204218466959360,0.9999,0.9999,0.0001,0.0,0.5598,,
102627721,WBNB/USDC,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627726,0xd504..2D42,5,10.0,3,0.6667,0.6667,0.0,0.0,0.3333,,
102627745,0xd504..2D42,5,5.0,240000000000000000,1.0,1.0,0.0,0.0,0.0,,
102627781,0x0033..0D43,3,5.0,709722478986242004403355648,1.0,1.0,0.0,0.0,0.0,,
102627860,WBNB/USDT,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627896,0xbC42..Efa5,3,6.0,997463607402946648814498297919045632,0.9529,0.9529,0.0471,0.0,0.0037,,
102627913,0x0604..eD74,3,7.0,10633986932829643134983403357601792,0.9546,0.9546,0.0454,0.0,0.3333,,
102627929,0x126F..Faab,5,10.0,37127028289037789256489812099072,0.5999,0.5999,0.4001,0.0,0.3478,,
102627932,0x126F..Faab,3,6.0,40473313081017389086146560,1.0,1.0,0.0,0.0,0.0,,
102627933,0x126F..Faab,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627935,0x126F..Faab,5,7.0,48400000000000000,1.0,1.0,0.0,0.0,0.0,,
102627967,0x126F..Faab,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102627976,0xd6DD..31B8,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628035,WBNB/USDT,4,6.0,16157395631999998496815972352,1.0,1.0,0.0,0.0,0.0,,
102628037,0x734d..3C35,3,7.0,18599070295158946982153829643976704,0.6667,0.6667,0.3333,0.0,0.3333,,
102628039,0xd6DD..31B8,3,3.0,1529106133566770642944,0.9029,0.9029,0.0971,0.0,0.0984,,
102628060,0xd6DD..31B8,3,3.0,31760568016719282176,1.0,1.0,0.0,0.0,0.0,,
102628080,0x7498..4860,7,8.0,87931404800000014680064,0.8571,0.8571,0.1429,0.0,0.0,,
102628091,WBNB/USDT,4,6.0,2053364657059728554196992,1.0,1.0,0.0,0.0,0.2205,,
102628115,0xd504..2D42,5,7.0,4,0.5,0.5,0.25,0.0,0.0,,
102628115,0xd6DD..31B8,3,3.0,55317122225543102464,1.0,1.0,0.0,0.0,0.0,,
102628137,0x47a9..10c4,3,6.0,42192049267898243881399916429312,0.6672,0.6672,0.3328,0.0,0.0044,,
102628139,0x6fe9..4869,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628139,0x47a9..10c4,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628165,0xd6DD..31B8,3,3.0,3237926466875654144,0.9947,0.9947,0.0053,0.0,0.0054,,
102628215,0x8FA5..7C3F,3,6.0,18925964242394600591568376965365760,0.8889,0.8889,0.1111,0.0,0.3333,,
102628216,0x8FA5..7C3F,3,7.0,938534953334222815756288,0.6667,0.6667,0.3333,0.0,0.3333,,
102628237,0xd6DD..31B8,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628280,0xd6DD..31B8,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628339,0x47a9..10c4,3,6.0,3017308680176780291747086336,0.6667,0.6667,0.3333,0.0,0.6666,,
102628348,0xd6DD..31B8,3,3.0,1490636492566302556160,0.9972,0.9972,0.0028,0.0,0.003,,
102628355,0x5e58..4D0b,3,6.0,10291703304792145732792590073331712,0.3334,0.3334,0.6666,0.0,0.3157,,
102628356,0xFf8D..b574,4,9.0,498510783116532480435204146082086912,0.5003,0.5003,0.4997,0.0,0.2624,,
102628365,0xD2C1..07E7,4,4.0,8265018803469604823760896,0.9928,0.9928,0.0072,0.0,0.0496,,
102628366,0xD2C1..07E7,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628377,0x734d..3C35,4,5.0,41289363327666338675032064,0.5,0.5,0.5,0.0,0.5,,
102628410,WBNB/USDT,3,5.0,28481067727953468195793304238948352,0.6667,0.6667,0.3333,0.0,0.3333,,
102628420,0xd6DD..31B8,3,3.0,3070304330331791103083881168896,0.95,0.95,0.05,0.0,0.0505,,
102628429,0xFf8D..b574,3,6.0,172872076063688374616064,1.0,1.0,0.0,0.0,0.0,,
102628434,0xd6DD..31B8,4,4.0,48692482618191483319277292879872,0.7051,0.7051,0.2949,0.0,0.2946,,
102628450,0xbC42..Efa5,3,9.0,3273732358222118236347957248,0.8959,0.8959,0.1041,0.0,0.1067,,
102628477,0x167c..9f12,3,6.0,105583253496600910951197912598577152,0.3334,0.3334,0.6666,0.0,0.3136,,
102628481,WBNB/USDT,4,8.0,10088116770412062784260520542208,0.5,0.5,0.5,0.0,0.5,,
102628483,0x6fe9..4869,3,7.0,300959973693217922718105600,0.696,0.696,0.304,0.0,0.3017,,
102628510,0xd6DD..31B8,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628519,0xd6DD..31B8,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628542,0x24d9..5E1B,4,4.0,1134301354925962939142439436288,0.8193,0.8193,0.1807,0.0,0.1789,,
102628550,0xd6DD..31B8,5,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628550,0xbC42..Efa5,3,7.0,357945322478942643922544899248881664,0.9433,0.9433,0.0567,0.0,0.3333,,
102628561,0xBA51..84cF,3,6.0,184463154499999974746488832,0.9982,0.9982,0.0018,0.0,0.0671,,
102628564,0xe494..0eAA,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628572,0x8E5D..902b,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628580,0xbC42..Efa5,3,7.0,387706947812914654206516227345481728,0.8183,0.8183,0.1817,0.0,0.0804,,
102628584,0xd6DD..31B8,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628588,0xd6DD..31B8,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628594,0xc1d0..ea6d,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628607,0x24d9..5E1B,3,3.0,325969101712448290816,0.9988,0.9988,0.0012,0.0,0.0013,,
102628627,0x47a9..10c4,5,6.0,136985254118615223894016,0.4017,0.4017,0.5983,0.0,0.5182,,
102628628,0x47a9..10c4,5,5.0,7628138809753315835904,0.4,0.4,0.6,0.0,0.6,,
102628629,0x6fe9..4869,4,7.0,735088616920707876243111936,0.5036,0.5036,0.4964,0.0,0.5046,,
102628629,0x47a9..10c4,4,9.0,828863751844723695443509248,0.3147,0.3147,0.6853,0.0,0.669,,
102628630,0x4141..6d48,5,6.0,3939212979453137081025429504,0.416,0.416,0.584,0.0,0.528,,
102628630,0x47a9..10c4,4,7.0,75771069446234644152320,0.8707,0.8707,0.1293,0.0,0.0001,,
102628630,0x6fe9..4869,8,15.0,665177546050636353768521728,0.4996,0.4996,0.5004,0.0,0.5188,,
102628631,0x24d9..5E1B,4,4.0,19179810620763889664,1.0,1.0,0.0,0.0,0.0,,
102628631,0x6fe9..4869,4,7.0,3473538936032221226590011392,0.987,0.987,0.013,0.0,0.0133,,
102628635,0xCB99..d934,3,5.0,982903901656408132555898880,0.6667,0.6667,0.3333,0.0,0.6006,,
102628636,0xCB99..d934,3,5.0,146548084731447586324480,1.0,1.0,0.0,0.0,0.0,,
102628638,WBNB/USDT,3,6.0,89030547360000002389704704,0.6667,0.6667,0.3333,0.0,0.3333,,
102628638,0xE0C3..7B69,3,5.0,3380477665974458332030697472,0.6667,0.6667,0.3333,0.0,0.3333,,
102628640,0x47a9..10c4,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628640,0xd6DD..31B8,3,3.0,3910279524926268375040,0.8818,0.8818,0.1182,0.0,0.1216,,
102628641,0xE0C3..7B69,3,2.0,901628178714088392970168308858880,0.6667,0.6667,0.3333,0.0,0.3333,,
102628642,0x47a9..10c4,3,8.0,108901622289295198910505713401856,0.6669,0.6669,0.3331,0.0,0.3331,,
102628648,0x24d9..5E1B,3,3.0,74103548293213323264,0.9997,0.9997,0.0003,0.0,0.0003,,
102628659,0x47a9..10c4,3,7.0,2913492623437272064,0.6667,0.6667,0.3333,0.0,0.3333,,
102628661,0xd504..2D42,5,8.0,6,0.8333,0.8333,0.0,0.0,0.0,,
102628665,0xc33b..c5CB,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628670,0xd6DD..31B8,6,6.0,358510563779600829120512,0.9897,0.9897,0.0103,0.0,0.0112,,
102628671,0xd504..2D42,3,3.0,80000000000000000,1.0,1.0,0.0,0.0,0.0,,
102628676,0x22af..127C,4,8.0,127407196186917103249258490804305920,0.97,0.97,0.03,0.0,0.2502,,
102628682,0xc33b..c5CB,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628703,0x24d9..5E1B,3,3.0,3067745350287646720,0.9999,0.9999,0.0001,0.0,0.0001,,
102628710,0x66f2..C56B,3,7.0,27471904138132031200458808658143215616,0.6667,0.6667,0.3333,0.0,0.3229,,
102628712,0xc33b..c5CB,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628713,0xc33b..c5CB,3,7.0,1142940488307812056543789056,0.9982,0.9982,0.0018,0.0,0.5477,,
102628714,0xbC42..Efa5,3,7.0,6472186173914711510933831680,0.8476,0.8476,0.1524,0.0,0.4486,,
102628715,0xbC42..Efa5,3,7.0,510931197783729138298812282609598464,0.6678,0.6678,0.3322,0.0,0.3333,,
102628715,0x24d9..5E1B,3,3.0,14933158458401796096,1.0,1.0,0.0,0.0,0.0,,
102628754,0xd6DD..31B8,3,3.0,160951494657165656064,0.9993,0.9993,0.0007,0.0,0.0008,,
102628767,0xc33b..c5CB,3,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628770,WBNB/USDT,4,,0,n/a(commuting),n/a(commuting),0.0,0.0,,,
102628771,0xc33b..c5CB,3,6.0,424480241956763250074845184,0.679,0.679,0.321,0.0,0.3333,,
102628783,WBNB/USDT,3,6.0,31327132965950480384,0.9666,0.9666,0.0334,0.0,0.0334,,
102628792,0xd6DD..31B8,3,3.0,1681211432503323924162794225664,0.9999,0.9999,0.0001,0.0,0.0001,,
